,#RIC,Alias Underlying RIC,Domain,Date-Time,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,No. Bids,Open Ask,High Ask,Low Ask,Close Ask,No. Asks,Mid Open,Mid Close,Spot,Ticker,Strike,Expiry,Opt Type,T,IV,time_to_expiry,Delta,Gamma,Theta,Vega
0,SPYA192444000.U,,Market Price,2023-10-02 13:00:00+00:00,Intraday 1Hour,10.16,10.47,10.09,10.3,195.0,39.0,10.1,10.54,9.75,10.19,391.0,10.22,11.02,10.07,10.26,390.0,10.16,10.225,426.7238,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.43253968253968256,0.11238730393994889,108 days 11:00:00,0.9313194132675127,0.000664050150485342,-1.6913634756430778,588.0101953799997
1,SPYA192444000.U,,Market Price,2023-10-02 14:00:00+00:00,Intraday 1Hour,10.0,10.69,9.92,9.92,273.0,31.0,10.0,10.67,9.75,9.95,742.0,10.64,10.74,9.86,10.02,742.0,10.32,9.985,426.365,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.43253968253968256,0.1105189681594918,108 days 10:00:00,0.9319083906284557,0.0006714969662785696,-1.6871822236814689,583.5123951960278
2,SPYA192444000.U,,Market Price,2023-10-02 15:00:00+00:00,Intraday 1Hour,10.29,10.65,9.62,9.62,177.0,51.0,9.93,10.72,9.59,9.7,762.0,10.03,10.78,9.62,9.72,763.0,9.98,9.71,425.8096,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.43253968253968256,0.11025046316573506,108 days 09:00:00,0.9318291242137563,0.0006747455909241082,-1.6869575161127743,583.1637920545323
3,SPYA192444000.U,,Market Price,2023-10-02 16:00:00+00:00,Intraday 1Hour,9.7,9.7,9.34,9.38,271.0,29.0,9.7,9.72,9.23,9.36,746.0,9.71,9.77,9.28,9.41,742.0,9.705,9.385,424.82,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.43253968253968256,0.11244303166853786,108 days 08:00:00,0.9306736197389627,0.0006719092448533054,-1.69274439414239,589.2848072079546
4,SPYA192444000.U,,Market Price,2023-10-02 17:00:00+00:00,Intraday 1Hour,9.46,9.79,9.3,9.6,79.0,30.0,9.3,9.76,9.25,9.57,723.0,9.43,9.8,9.31,9.61,711.0,9.365,9.59,425.4973,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.43253968253968256,0.11145506118622728,108 days 07:00:00,0.9311884782771908,0.0006730388895193221,-1.6915191730332122,586.7305135988759
5,SPYA192444000.U,,Market Price,2023-10-02 18:00:00+00:00,Intraday 1Hour,9.59,9.99,9.37,9.55,115.0,15.0,9.56,10.02,9.3,9.5,724.0,9.62,10.06,9.34,9.56,728.0,9.59,9.530000000000001,425.1299,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.43253968253968256,0.11262719860826254,108 days 06:00:00,0.9306101145128602,0.0006710526222758067,-1.6950693347368677,589.9037158369119
6,SPYA192444000.U,,Market Price,2023-10-02 19:00:00+00:00,Intraday 1Hour,9.53,10.4,9.49,10.4,164.0,31.0,9.5,10.4,9.3,10.4,744.0,9.55,10.47,9.35,10.47,736.0,9.525,10.435,427.36,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.43253968253968256,0.11044993197396735,108 days 05:00:00,0.9320076860985236,0.0006702417328749683,-1.6917442680612917,583.6539562295986
7,SPYA192444000.U,,Market Price,2023-10-02 20:00:00+00:00,Intraday 1Hour,10.54,10.54,10.54,10.54,2.0,1.0,10.45,10.58,10.34,10.45,148.0,10.53,10.64,10.48,10.54,115.0,10.489999999999998,10.495,427.31,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.43253968253968256,0.1119517880456129,108 days 04:00:00,0.931364760154781,0.0006662764034731471,-1.6964438899787133,587.7262551409293
8,SPYA192444000.U,,Market Price,2023-10-03 13:00:00+00:00,Intraday 1Hour,9.67,10.17,9.61,10.17,159.0,45.0,9.22,10.22,9.22,10.08,398.0,10.02,10.3,9.67,10.12,399.0,9.620000000000001,10.1,426.29,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.42857142857142855,0.1140505202632417,107 days 11:00:00,0.9296615845516971,0.0006702715228195399,-1.7153320569054669,595.5366523204704
9,SPYA192444000.U,,Market Price,2023-10-03 14:00:00+00:00,Intraday 1Hour,9.7,9.74,8.64,8.71,5819.0,105.0,9.7,9.81,8.58,8.62,805.0,10.55,11.02,8.65,8.68,802.0,10.125,8.649999999999999,421.763,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.42857142857142855,0.12063818602314369,107 days 10:00:00,0.9265289172865405,0.000662362818614402,-1.7280418489520994,609.1151990610043
10,SPYA192444000.U,,Market Price,2023-10-03 15:00:00+00:00,Intraday 1Hour,8.58,8.76,8.41,8.43,239.0,56.0,8.58,8.75,8.36,8.48,766.0,8.64,8.83,8.43,8.55,767.0,8.61,8.515,421.199,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.42857142857142855,0.12051081651996165,107 days 09:00:00,0.926367988756543,0.0006651914846758427,-1.7281926724015801,609.2010112421684
11,SPYA192444000.U,,Market Price,2023-10-03 16:00:00+00:00,Intraday 1Hour,8.59,8.85,8.59,8.85,2161.0,22.0,8.49,8.83,8.46,8.74,732.0,8.55,8.89,8.52,8.79,733.0,8.52,8.765,422.22,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.42857142857142855,0.11993167101559199,107 days 08:00:00,0.9267352504741004,0.0006643712983410941,-1.7286245082537506,608.2288729969932
12,SPYA192444000.U,,Market Price,2023-10-03 17:00:00+00:00,Intraday 1Hour,8.92,8.93,8.34,8.38,522.0,310.0,8.75,8.91,8.29,8.33,794.0,8.81,8.96,8.35,8.38,805.0,8.780000000000001,8.355,420.89,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.42857142857142855,0.12139275224546775,107 days 07:00:00,0.9260049491880457,0.000663589929807965,-1.7315168682583009,610.8095478138205
13,SPYA192444000.U,,Market Price,2023-10-03 18:00:00+00:00,Intraday 1Hour,8.4,8.55,8.19,8.45,234.0,53.0,8.32,8.54,8.16,8.43,756.0,8.37,8.6,8.22,8.48,749.0,8.344999999999999,8.455,421.14,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.42857142857142855,0.12095253794935779,107 days 06:00:00,0.9261276516823691,0.0006648953006781646,-1.7316709588149588,610.2792464992665
14,SPYA192444000.U,,Market Price,2023-10-03 19:00:00+00:00,Intraday 1Hour,8.41,8.62,8.29,8.55,6104.0,39.0,8.41,8.61,8.22,8.61,752.0,8.46,8.69,8.27,8.69,754.0,8.435,8.649999999999999,421.67,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.42857142857142855,0.11956645681443212,107 days 05:00:00,0.9265553766165151,0.0006689121566961116,-1.7299965028977966,608.2224786497051
15,SPYA192444000.U,,Market Price,2023-10-03 20:00:00+00:00,Intraday 1Hour,8.69,8.69,8.69,8.69,2.0,1.0,8.67,8.7,8.6,8.64,169.0,8.75,8.76,8.69,8.72,174.0,8.71,8.68,421.59,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.42857142857142855,0.12120893366106711,107 days 04:00:00,0.9261069563065457,0.0006631802193209438,-1.734303503833591,610.8246922912683
16,SPYA192444000.U,,Market Price,2023-10-04 13:00:00+00:00,Intraday 1Hour,8.61,8.92,8.56,8.73,132.0,30.0,8.57,8.94,8.5,8.64,388.0,8.66,9.05,8.55,8.7,387.0,8.615,8.67,422.5201,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.4246031746031746,0.11843622342579307,106 days 11:00:00,0.9263320768301451,0.0006778783558525348,-1.7437247648767533,608.7245179263399
17,SPYA192444000.U,,Market Price,2023-10-04 14:00:00+00:00,Intraday 1Hour,8.43,8.61,8.12,8.3,143.0,47.0,8.2,8.72,7.98,8.27,753.0,9.22,9.22,8.14,8.32,754.0,8.71,8.295,421.05,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.4246031746031746,0.12089046077954169,106 days 10:00:00,0.9252873786154739,0.0006737735333919476,-1.7489163122558957,613.0459684217274
18,SPYA192444000.U,,Market Price,2023-10-04 15:00:00+00:00,Intraday 1Hour,8.27,9.22,8.27,9.22,93.0,25.0,8.26,9.2,8.18,9.2,744.0,8.31,9.22,8.23,9.22,741.0,8.285,9.21,423.955,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.4246031746031746,0.11663175344973953,106 days 09:00:00,0.9271495296755913,0.0006804712931224457,-1.7422745453273225,605.3628636696524
19,SPYA192444000.U,,Market Price,2023-10-04 16:00:00+00:00,Intraday 1Hour,9.2,9.32,9.0,9.1,108.0,26.0,9.21,9.34,8.97,9.07,741.0,9.24,9.39,9.02,9.11,742.0,9.225000000000001,9.09,423.6017,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.4246031746031746,0.1170876778619282,106 days 08:00:00,0.9268778901801702,0.0006804554531609416,-1.7439783746304018,606.4650454226174
20,SPYA192444000.U,,Market Price,2023-10-04 17:00:00+00:00,Intraday 1Hour,9.04,9.04,8.57,8.7,240.0,13.0,9.06,9.09,8.55,8.61,729.0,9.1,9.14,8.6,8.65,728.0,9.08,8.629999999999999,422.2,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.4246031746031746,0.11956567417720554,106 days 07:00:00,0.9257875742746323,0.0006763055691893652,-1.7495410850479907,611.2167135368621
21,SPYA192444000.U,,Market Price,2023-10-04 18:00:00+00:00,Intraday 1Hour,8.55,8.86,8.55,8.86,44.0,17.0,8.58,8.97,8.46,8.93,734.0,8.64,9.02,8.51,8.99,731.0,8.61,8.96,423.19,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.4246031746031746,0.11668713039940803,106 days 06:00:00,0.9268010795279663,0.0006842729256274276,-1.7444394211032281,606.1248846839984
22,SPYA192444000.U,,Market Price,2023-10-04 19:00:00+00:00,Intraday 1Hour,9.06,9.72,8.93,9.68,188.0,44.0,8.94,9.71,8.86,9.42,758.0,9.01,9.76,8.91,9.5,758.0,8.975,9.46,424.71,SPY,440.0,2024-01-19 00:00:00+00:00,call,0.4246031746031746,0.11752541423184737,106 days 05:00:00,0.9269279480892811,0.0006761952803254717,-1.7484669038781502,607.3759046121894
