,Unnamed: 0,#RIC,Alias Underlying RIC,Domain,Date-Time,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,No. Bids,Open Ask,High Ask,Low Ask,Close Ask,No. Asks,Mid Open,Mid Close,Spot,Ticker,Strike,Expiry,Opt Type,T,IV,time_to_expiry,Delta,Gamma,Theta,Vega,American Delta
0,0,SPYA192444000.U,,Market Price,2023-10-02 13:00:00+00:00,Intraday 1Hour,10.16,10.47,10.09,10.3,195.0,39.0,10.1,10.54,9.75,10.19,391.0,10.22,11.02,10.07,10.26,390.0,10.16,10.225,426.7238,SPY,440.0,2024-01-19 05:00:00+00:00,call,0.4325396825396825,0.1123873039399488,108 days 16:00:00,0.10255544625575942,0.995683944230674,-1.6487921700662027e-306,0.0004701979775815,0.10255544625575942
1,1,SPYA192444000.U,,Market Price,2023-10-02 14:00:00+00:00,Intraday 1Hour,10.0,10.69,9.92,9.92,273.0,31.0,10.0,10.67,9.75,9.95,742.0,10.64,10.74,9.86,10.02,742.0,10.32,9.985,426.365,SPY,440.0,2024-01-19 05:00:00+00:00,call,0.4325396825396825,0.1105189681594918,108 days 15:00:00,0.09877184726768284,0.9956839442306739,-6.484246e-316,0.0003159542965368,0.09877184726768284
2,2,SPYA192444000.U,,Market Price,2023-10-02 15:00:00+00:00,Intraday 1Hour,10.29,10.65,9.62,9.62,177.0,51.0,9.93,10.72,9.59,9.7,762.0,10.03,10.78,9.62,9.72,763.0,9.98,9.71,425.8096,SPY,440.0,2024-01-19 05:00:00+00:00,call,0.4325396825396825,0.110250463165735,108 days 14:00:00,0.09578479543499081,0.9956839442306737,-8.0961055e-317,0.0003007710651241,0.09578479543499081
3,3,SPYA192444000.U,,Market Price,2023-10-02 16:00:00+00:00,Intraday 1Hour,9.7,9.7,9.34,9.38,271.0,29.0,9.7,9.72,9.23,9.36,746.0,9.71,9.77,9.28,9.41,742.0,9.705,9.385,424.82,SPY,440.0,2024-01-19 05:00:00+00:00,call,0.4325396825396825,0.1124430316685378,108 days 13:00:00,0.09339515396883721,0.9956839442306739,-1.6562568325238744e-304,0.0004919953126849,0.09339515396883721
4,4,SPYA192444000.U,,Market Price,2023-10-02 17:00:00+00:00,Intraday 1Hour,9.46,9.79,9.3,9.6,79.0,30.0,9.3,9.76,9.25,9.57,723.0,9.43,9.8,9.31,9.61,711.0,9.365,9.59,425.4973,SPY,440.0,2024-01-19 05:00:00+00:00,call,0.4325396825396825,0.1114550611862272,108 days 12:00:00,0.0955856586461447,0.9956839442306739,-6.2889511039007e-310,0.0003980994491431,0.0955856586461447
5,5,SPYA192444000.U,,Market Price,2023-10-02 18:00:00+00:00,Intraday 1Hour,9.59,9.99,9.37,9.55,115.0,15.0,9.56,10.02,9.3,9.5,724.0,9.62,10.06,9.34,9.56,728.0,9.59,9.53,425.1299,SPY,440.0,2024-01-19 05:00:00+00:00,call,0.4325396825396825,0.1126271986082625,108 days 11:00:00,0.09508781667402937,0.9956839442306739,-1.6004701226541303e-303,0.0005158887263763,0.09508781667402937
6,6,SPYA192444000.U,,Market Price,2023-10-02 19:00:00+00:00,Intraday 1Hour,9.53,10.4,9.49,10.4,164.0,31.0,9.5,10.4,9.3,10.4,744.0,9.55,10.47,9.35,10.47,736.0,9.525,10.435,427.36,SPY,440.0,2024-01-19 05:00:00+00:00,call,0.4325396825396825,0.1104499319739673,108 days 10:00:00,0.10355113019999009,0.9956839442306739,-2.88209736e-316,0.0003174693402096,0.10355113019999009
7,7,SPYA192444000.U,,Market Price,2023-10-02 20:00:00+00:00,Intraday 1Hour,10.54,10.54,10.54,10.54,2.0,1.0,10.45,10.58,10.34,10.45,148.0,10.53,10.64,10.48,10.54,115.0,10.489999999999998,10.495,427.31,SPY,440.0,2024-01-19 05:00:00+00:00,call,0.4325396825396825,0.1119517880456129,108 days 09:00:00,0.10494508772191302,0.9956839442306739,-3.591630101890387e-308,0.0004436521686637,0.10494508772191302
8,8,SPYA192444000.U,,Market Price,2023-10-03 13:00:00+00:00,Intraday 1Hour,9.67,10.17,9.61,10.17,159.0,45.0,9.22,10.22,9.22,10.08,398.0,10.02,10.3,9.67,10.12,399.0,9.62,10.1,426.29,SPY,440.0,2024-01-19 05:00:00+00:00,call,0.4285714285714285,0.1140505202632417,107 days 16:00:00,0.10126507550390647,0.9957234562822662,-7.7130836680392575e-289,0.0007609892142652,0.10126507550390647
9,9,SPYA192444000.U,,Market Price,2023-10-03 14:00:00+00:00,Intraday 1Hour,9.7,9.74,8.64,8.71,5819.0,105.0,9.7,9.81,8.58,8.62,805.0,10.55,11.02,8.65,8.68,802.0,10.125,8.649999999999999,421.763,SPY,440.0,2024-01-19 05:00:00+00:00,call,0.4285714285714285,0.1206381860231436,107 days 15:00:00,0.0867275130421854,0.9957234562822662,-2.6514894666280735e-257,0.0026641704966827,0.0867275130421854
10,10,SPYA192444000.U,,Market Price,2023-10-03 15:00:00+00:00,Intraday 1Hour,8.58,8.76,8.41,8.43,239.0,56.0,8.58,8.75,8.36,8.48,766.0,8.64,8.83,8.43,8.55,767.0,8.61,8.515,421.199,SPY,440.0,2024-01-19 05:00:00+00:00,call,0.4285714285714285,0.1205108165199616,107 days 14:00:00,0.08393948736459504,0.9957234562822662,-2.564798811296435e-257,0.0026318559933976,0.08393948736459504
11,11,SPYA192444000.U,,Market Price,2023-10-03 16:00:00+00:00,Intraday 1Hour,8.59,8.85,8.59,8.85,2161.0,22.0,8.49,8.83,8.46,8.74,732.0,8.55,8.89,8.52,8.79,733.0,8.52,8.765,422.22,SPY,440.0,2024-01-19 05:00:00+00:00,call,0.4285714285714285,0.1199316710155919,107 days 13:00:00,0.08812152588098056,0.9957234562822662,-3.561936240654591e-260,0.0023789249011325,0.08812152588098056
12,12,SPYA192444000.U,,Market Price,2023-10-03 17:00:00+00:00,Intraday 1Hour,8.92,8.93,8.34,8.38,522.0,310.0,8.75,8.91,8.29,8.33,794.0,8.81,8.96,8.35,8.38,805.0,8.780000000000001,8.355,420.89,SPY,440.0,2024-01-19 05:00:00+00:00,call,0.4285714285714285,0.1213927522454677,107 days 12:00:00,0.08344162563645392,0.9957234562822662,-1.925789229853553e-253,0.0030867968283482,0.08344162563645392
